ORIGIN,DESTINATION,count,reverse_count,round_trips,ROUTE
LAX,HNL,1365,1362,1362,LAX-HNL
LAS,PHX,1359,1357,1357,LAS-PHX
PHX,LAS,1357,1359,1357,PHX-LAS
ORD,DEN,1350,1355,1350,ORD-DEN
DEN,ORD,1355,1350,1350,DEN-ORD
PHL,MCO,1344,1348,1344,PHL-MCO
MCO,PHL,1348,1344,1344,MCO-PHL
PHX,SAN,1325,1331,1325,PHX-SAN
SAN,PHX,1331,1325,1325,SAN-PHX
MCO,ORD,1315,1312,1312,MCO-ORD
ORD,MCO,1312,1315,1312,ORD-MCO
MSY,ATL,1305,1306,1305,MSY-ATL
ATL,MSY,1306,1305,1305,ATL-MSY
ATL,DTW,1302,1299,1299,ATL-DTW
DTW,ATL,1299,1302,1299,DTW-ATL
SEA,ANC,1381,1295,1295,SEA-ANC
ANC,SEA,1295,1381,1295,ANC-SEA
ORD,SFO,1297,1292,1292,ORD-SFO
SFO,ORD,1292,1297,1292,SFO-ORD
SJC,SNA,1310,1290,1290,SJC-SNA
SNA,SJC,1290,1310,1290,SNA-SJC
SLC,PHX,1288,1286,1286,SLC-PHX
PHX,SLC,1286,1288,1286,PHX-SLC
JAX,ATL,1279,1279,1279,JAX-ATL
ATL,JAX,1279,1279,1279,ATL-JAX
PHX,SFO,1284,1278,1278,PHX-SFO
SFO,PHX,1278,1284,1278,SFO-PHX
IAH,ATL,1264,1262,1262,IAH-ATL
ATL,IAH,1262,1264,1262,ATL-IAH
CMH,ORD,1256,1258,1256,CMH-ORD
ORD,CMH,1258,1256,1256,ORD-CMH
LGA,FLL,1241,1245,1241,LGA-FLL
FLL,LGA,1245,1241,1241,FLL-LGA
IAH,ORD,1243,1241,1241,IAH-ORD
ORD,IAH,1241,1243,1241,ORD-IAH
RDU,ATL,1239,1242,1239,RDU-ATL
ATL,RDU,1242,1239,1239,ATL-RDU
PDX,SFO,1247,1237,1237,PDX-SFO
DEN,MSP,1238,1237,1237,DEN-MSP
MSP,DEN,1237,1238,1237,MSP-DEN
SFO,PDX,1237,1247,1237,SFO-PDX
BNA,ATL,1223,1215,1215,BNA-ATL
ATL,BNA,1215,1223,1215,ATL-BNA
SEA,BOI,1217,1212,1212,SEA-BOI
BOI,SEA,1212,1217,1212,BOI-SEA
EWR,SFO,1212,1212,1212,EWR-SFO
SFO,EWR,1212,1212,1212,SFO-EWR
ATL,MSP,1203,1207,1203,ATL-MSP
MSP,ATL,1207,1203,1203,MSP-ATL
LGA,DTW,1204,1201,1201,LGA-DTW
LAX,IAH,1201,1204,1201,LAX-IAH
DTW,LGA,1201,1204,1201,DTW-LGA
IAH,LAX,1204,1201,1201,IAH-LAX
MCO,SJU,1193,1197,1193,MCO-SJU
SJU,MCO,1197,1193,1193,SJU-MCO
LAX,OAK,1197,1186,1186,LAX-OAK
OAK,LAX,1186,1197,1186,OAK-LAX
SJC,PHX,1185,1200,1185,SJC-PHX
PHX,SJC,1200,1185,1185,PHX-SJC
ORD,CLE,1190,1184,1184,ORD-CLE
CLE,ORD,1184,1190,1184,CLE-ORD
HNL,ITO,1170,1169,1169,HNL-ITO
SEA,SAN,1169,1176,1169,SEA-SAN
SAN,SEA,1176,1169,1169,SAN-SEA
ITO,HNL,1169,1170,1169,ITO-HNL
STL,ORD,1171,1167,1167,STL-ORD
