ORIGIN,DESTINATION,count,reverse_count,round_trips,ROUTE
COS,DEN,727,733,727,COS-DEN
DEN,COS,733,727,727,DEN-COS
PIT,CLT,726,729,726,PIT-CLT
CLT,PIT,729,726,726,CLT-PIT
DCA,JFK,726,724,724,DCA-JFK
JFK,DCA,724,726,724,JFK-DCA
SMF,BUR,729,723,723,SMF-BUR
BUR,SMF,723,729,723,BUR-SMF
TPA,BOS,726,721,721,TPA-BOS
BOS,TPA,721,726,721,BOS-TPA
SMF,PDX,718,723,718,SMF-PDX
PDX,SMF,723,718,718,PDX-SMF
RIC,LGA,715,717,715,RIC-LGA
LGA,RIC,717,715,715,LGA-RIC
BOS,PIT,714,717,714,BOS-PIT
PIT,BOS,717,714,714,PIT-BOS
IAH,LAS,715,713,713,IAH-LAS
LAS,IAH,713,715,713,LAS-IAH
BWI,TPA,711,712,711,BWI-TPA
TPA,BWI,712,711,711,TPA-BWI
CLT,PHX,714,711,711,CLT-PHX
PHX,CLT,711,714,711,PHX-CLT
DEN,EWR,710,709,709,DEN-EWR
FLL,DFW,711,709,709,FLL-DFW
DFW,FLL,709,711,709,DFW-FLL
EWR,DEN,709,710,709,EWR-DEN
LAX,OGG,709,708,708,LAX-OGG
OGG,LAX,708,709,708,OGG-LAX
MSP,DCA,707,707,707,MSP-DCA
DCA,MSP,707,707,707,DCA-MSP
MSP,LAS,706,706,706,MSP-LAS
BOS,MSP,708,706,706,BOS-MSP
LAS,MSP,706,706,706,LAS-MSP
MSP,BOS,706,708,706,MSP-BOS
ATL,SLC,705,706,705,ATL-SLC
LAS,SMF,706,705,705,LAS-SMF
DEN,SMF,705,710,705,DEN-SMF
CLT,MIA,705,1007,705,CLT-MIA
SMF,DEN,710,705,705,SMF-DEN
MIA,CLT,1007,705,705,MIA-CLT
SMF,LAS,705,706,705,SMF-LAS
SJU,JFK,705,705,705,SJU-JFK
JFK,SJU,705,705,705,JFK-SJU
SLC,ATL,706,705,705,SLC-ATL
SAT,IAH,703,703,703,SAT-IAH
LGA,MSP,706,703,703,LGA-MSP
IAH,SAT,703,703,703,IAH-SAT
MSP,LGA,703,706,703,MSP-LGA
PHX,AUS,699,701,699,PHX-AUS
AUS,PHX,701,699,699,AUS-PHX
IND,CLT,698,698,698,IND-CLT
CLT,IND,698,698,698,CLT-IND
SAN,ORD,698,699,698,SAN-ORD
ORD,SAN,699,698,698,ORD-SAN
LAX,FAT,693,691,691,LAX-FAT
FAT,LAX,691,693,691,FAT-LAX
TPA,DTW,688,691,688,TPA-DTW
DTW,TPA,691,688,688,DTW-TPA
DFW,TPA,683,684,683,DFW-TPA
TPA,DFW,684,683,683,TPA-DFW
AGS,ATL,683,684,683,AGS-ATL
ATL,AGS,684,683,683,ATL-AGS
DFW,LIT,682,682,682,DFW-LIT
LIT,DFW,682,682,682,LIT-DFW
OKC,IAH,681,682,681,OKC-IAH
TPA,EWR,682,681,681,TPA-EWR
EWR,TPA,681,682,681,EWR-TPA
IAH,OKC,682,681,681,IAH-OKC
DFW,STL,683,680,680,DFW-STL
STL,DFW,680,683,680,STL-DFW
JAX,CLT,679,682,679,JAX-CLT
LAX,MIA,682,679,679,LAX-MIA
CLT,JAX,682,679,679,CLT-JAX
PDX,OAK,682,679,679,PDX-OAK
MIA,LAX,679,682,679,MIA-LAX
OAK,PDX,679,682,679,OAK-PDX
GRB,ORD,678,681,678,GRB-ORD
ORD,GRB,681,678,678,ORD-GRB
IAH,SLC,677,677,677,IAH-SLC
MYR,CLT,677,677,677,MYR-CLT
CLT,MYR,677,677,677,CLT-MYR
SLC,IAH,677,677,677,SLC-IAH
EWR,RSW,675,677,675,EWR-RSW
RSW,EWR,677,675,675,RSW-EWR
BNA,DFW,672,673,672,BNA-DFW
DAL,LAX,679,672,672,DAL-LAX
PHL,MIA,672,803,672,PHL-MIA
MIA,PHL,803,672,672,MIA-PHL
LAX,DAL,672,679,672,LAX-DAL
DFW,BNA,673,672,672,DFW-BNA
MSP,SEA,670,670,670,MSP-SEA
SEA,MSP,670,670,670,SEA-MSP
DEN,TUS,670,669,669,DEN-TUS
ORF,ATL,669,669,669,ORF-ATL
TUS,DEN,669,670,669,TUS-DEN
ATL,ORF,669,669,669,ATL-ORF
LAX,PHL,668,668,668,LAX-PHL
PHL,LAX,668,668,668,PHL-LAX
ORD,RDU,671,668,668,ORD-RDU
RDU,ORD,668,671,668,RDU-ORD
DTW,FLL,670,667,667,DTW-FLL
OAK,SLC,667,669,667,OAK-SLC
FLL,DTW,667,670,667,FLL-DTW
SLC,OAK,669,667,667,SLC-OAK
MCO,BDL,678,665,665,MCO-BDL
BDL,MCO,665,678,665,BDL-MCO
SDF,ATL,664,664,664,SDF-ATL
DCA,IAH,665,664,664,DCA-IAH
IAH,DCA,664,665,664,IAH-DCA
ATL,SDF,664,664,664,ATL-SDF
DCA,PVD,664,663,663,DCA-PVD
PVD,DCA,663,664,663,PVD-DCA
LAX,MSP,662,661,661,LAX-MSP
MSP,LAX,661,662,661,MSP-LAX
PHX,JFK,660,664,660,PHX-JFK
JFK,PHX,664,660,660,JFK-PHX
DTW,DEN,661,659,659,DTW-DEN
DEN,DTW,659,661,659,DEN-DTW
MFE,DFW,657,658,657,MFE-DFW
TUL,IAH,657,659,657,TUL-IAH
DFW,MFE,658,657,657,DFW-MFE
ATL,GSO,658,657,657,ATL-GSO
IAH,TUL,659,657,657,IAH-TUL
GSO,ATL,657,658,657,GSO-ATL
CHO,CLT,655,662,655,CHO-CLT
CLT,CHO,662,655,655,CLT-CHO
ORD,BWI,656,653,653,ORD-BWI
BWI,ORD,653,656,653,BWI-ORD
LGA,ORF,650,651,650,LGA-ORF
ORF,LGA,651,650,650,ORF-LGA
PHL,RDU,649,649,649,PHL-RDU
JFK,ORD,890,649,649,JFK-ORD
CLT,CMH,650,649,649,CLT-CMH
CMH,CLT,649,650,649,CMH-CLT
ORD,JFK,649,890,649,ORD-JFK
PHX,TUS,649,650,649,PHX-TUS
TUS,PHX,650,649,649,TUS-PHX
PHX,DTW,649,721,649,PHX-DTW
RDU,PHL,649,649,649,RDU-PHL
DTW,PHX,721,649,649,DTW-PHX
OAK,SNA,654,648,648,OAK-SNA
SNA,OAK,648,654,648,SNA-OAK
OMA,DEN,646,652,646,OMA-DEN
DEN,OMA,652,646,646,DEN-OMA
ABQ,DFW,953,644,644,ABQ-DFW
MSY,DFW,645,644,644,MSY-DFW
DFW,ABQ,644,953,644,DFW-ABQ
DFW,MSY,644,645,644,DFW-MSY
BOS,DFW,642,654,642,BOS-DFW
MSP,CLT,642,646,642,MSP-CLT
DFW,BOS,654,642,642,DFW-BOS
CLT,MSP,646,642,642,CLT-MSP
JFK,TPA,641,642,641,JFK-TPA
TPA,JFK,642,641,641,TPA-JFK
BOS,DEN,640,641,640,BOS-DEN
PHX,PHL,640,640,640,PHX-PHL
DEN,BOS,641,640,640,DEN-BOS
PHL,PHX,640,640,640,PHL-PHX
SLC,PDX,638,638,638,SLC-PDX
PDX,SLC,638,638,638,PDX-SLC
RDM,SEA,645,637,637,RDM-SEA
SEA,RDM,637,645,637,SEA-RDM
MDW,MCO,637,637,637,MDW-MCO
MCO,MDW,637,637,637,MCO-MDW
CLT,DEN,635,635,635,CLT-DEN
DEN,MDW,642,635,635,DEN-MDW
DEN,CLT,635,635,635,DEN-CLT
MDW,DEN,635,642,635,MDW-DEN
TPA,DEN,638,633,633,TPA-DEN
DTW,IAD,633,637,633,DTW-IAD
DEN,TPA,633,638,633,DEN-TPA
IAD,DTW,637,633,633,IAD-DTW
SYR,ORD,636,633,633,SYR-ORD
ORD,SYR,633,636,633,ORD-SYR
BDL,DCA,632,633,632,BDL-DCA
ORD,RIC,635,632,632,ORD-RIC
BWI,DTW,633,632,632,BWI-DTW
DTW,BWI,632,633,632,DTW-BWI
DCA,BDL,633,632,632,DCA-BDL
RIC,ORD,632,635,632,RIC-ORD
DEN,OKC,638,631,631,DEN-OKC
OKC,DEN,631,638,631,OKC-DEN
ORD,ROC,633,630,630,ORD-ROC
ROC,ORD,630,633,630,ROC-ORD
EWR,PHX,629,630,629,EWR-PHX
PHX,EWR,630,629,629,PHX-EWR
MSP,MCO,628,627,627,MSP-MCO
MCO,MSP,627,628,627,MCO-MSP
EWR,PIT,625,627,625,EWR-PIT
PNS,ATL,626,625,625,PNS-ATL
ATL,PNS,625,626,625,ATL-PNS
AUS,ORD,630,625,625,AUS-ORD
ORD,AUS,625,630,625,ORD-AUS
PIT,EWR,627,625,625,PIT-EWR
ATL,SEA,623,623,623,ATL-SEA
RDU,MCO,625,623,623,RDU-MCO
SEA,ATL,623,623,623,SEA-ATL
MCO,RDU,623,625,623,MCO-RDU
SJC,DEN,622,620,620,SJC-DEN
DEN,SJC,620,622,620,DEN-SJC
CLE,DCA,619,622,619,CLE-DCA
DCA,CLE,622,619,619,DCA-CLE
STL,MSP,619,617,617,STL-MSP
ELP,PHX,617,620,617,ELP-PHX
DCA,FLL,619,617,617,DCA-FLL
DEN,IAD,617,621,617,DEN-IAD
IAD,DEN,621,617,617,IAD-DEN
FLL,DCA,617,619,617,FLL-DCA
MSP,STL,617,619,617,MSP-STL
PHX,ELP,620,617,617,PHX-ELP
CVG,ATL,616,616,616,CVG-ATL
ATL,CVG,616,616,616,ATL-CVG
GEG,PDX,616,620,616,GEG-PDX
PDX,GEG,620,616,616,PDX-GEG
CVG,EWR,615,616,615,CVG-EWR
EWR,CVG,616,615,615,EWR-CVG
SLC,JFK,615,615,615,SLC-JFK
JFK,SLC,615,615,615,JFK-SLC
BOI,PDX,614,615,614,BOI-PDX
PDX,BOI,615,614,614,PDX-BOI
DCA,STL,631,613,613,DCA-STL
STL,DCA,613,631,613,STL-DCA
DAL,MSY,617,612,612,DAL-MSY
MSY,DAL,612,617,612,MSY-DAL
DTW,MDW,611,611,611,DTW-MDW
MDW,DTW,611,611,611,MDW-DTW
STL,DTW,613,610,610,STL-DTW
DTW,STL,610,613,610,DTW-STL
SAN,SLC,612,610,610,SAN-SLC
SLC,SAN,610,612,610,SLC-SAN
CLT,FLL,609,610,609,CLT-FLL
FLL,CLT,610,609,609,FLL-CLT
DEN,BWI,608,618,608,DEN-BWI
DFW,MEM,610,608,608,DFW-MEM
LAS,MDW,608,610,608,LAS-MDW
MDW,LAS,610,608,608,MDW-LAS
BWI,DEN,618,608,608,BWI-DEN
MEM,DFW,608,610,608,MEM-DFW
DFW,SGF,607,607,607,DFW-SGF
SGF,DFW,607,607,607,SGF-DFW
DCA,EWR,607,614,607,DCA-EWR
EWR,DCA,614,607,607,EWR-DCA
DFW,MAF,607,606,606,DFW-MAF
MAF,DFW,606,607,606,MAF-DFW
MSY,CLT,602,603,602,MSY-CLT
CLT,MSY,603,602,602,CLT-MSY
CLT,CAE,601,607,601,CLT-CAE
CAE,CLT,607,601,601,CAE-CLT
MIA,TPA,603,601,601,MIA-TPA
TPA,MIA,601,603,601,TPA-MIA
SDF,CLT,600,601,600,SDF-CLT
BNA,EWR,601,600,600,BNA-EWR
CLT,SDF,601,600,600,CLT-SDF
EWR,BNA,600,601,600,EWR-BNA
SAT,PHX,599,609,599,SAT-PHX
DEN,DAL,600,599,599,DEN-DAL
PHX,SAT,609,599,599,PHX-SAT
DAL,DEN,599,600,599,DAL-DEN
LEX,ATL,598,598,598,LEX-ATL
LAX,DTW,598,598,598,LAX-DTW
DTW,LAX,598,598,598,DTW-LAX
CLE,CLT,598,599,598,CLE-CLT
CLT,CLE,599,598,598,CLT-CLE
ATL,LEX,598,598,598,ATL-LEX
DEN,ASE,597,602,597,DEN-ASE
ASE,DEN,602,597,597,ASE-DEN
HSV,ATL,596,596,596,HSV-ATL
ATL,HSV,596,596,596,ATL-HSV
SGF,ORD,596,604,596,SGF-ORD
ORD,SGF,604,596,596,ORD-SGF
ATL,GNV,596,595,595,ATL-GNV
GNV,ATL,595,596,595,GNV-ATL
CLT,ROA,595,593,593,CLT-ROA
ROA,CLT,593,595,593,ROA-CLT
TYS,CLT,592,596,592,TYS-CLT
CVG,LGA,592,594,592,CVG-LGA
CLT,TYS,596,592,592,CLT-TYS
LGA,CVG,594,592,592,LGA-CVG
TUS,DFW,592,594,592,TUS-DFW
DFW,TUS,594,592,592,DFW-TUS
BOS,MIA,887,590,590,BOS-MIA
MIA,BOS,590,887,590,MIA-BOS
SRQ,ATL,588,588,588,SRQ-ATL
ATL,SRQ,588,588,588,ATL-SRQ
JFK,AUS,587,585,585,JFK-AUS
AUS,JFK,585,587,585,AUS-JFK
MCI,MSP,584,591,584,MCI-MSP
FLL,TPA,585,584,584,FLL-TPA
TPA,FLL,584,585,584,TPA-FLL
MSP,MCI,591,584,584,MSP-MCI
MDW,PHX,583,585,583,MDW-PHX
PHX,MDW,585,583,583,PHX-MDW
MCO,FLL,596,583,583,MCO-FLL
FLL,MCO,583,596,583,FLL-MCO
CLT,BHM,583,582,582,CLT-BHM
BHM,CLT,582,583,582,BHM-CLT
DFW,HOU,581,579,579,DFW-HOU
HOU,DFW,579,581,579,HOU-DFW
SLC,LGB,577,577,577,SLC-LGB
LGB,SLC,577,577,577,LGB-SLC
ABQ,DEN,574,579,574,ABQ-DEN
ATW,ORD,574,575,574,ATW-ORD
ORD,ATW,575,574,574,ORD-ATW
DEN,ABQ,579,574,574,DEN-ABQ
AVL,ATL,573,574,573,AVL-ATL
ATL,AVL,574,573,573,ATL-AVL
CVG,PHL,573,573,573,CVG-PHL
PHL,CVG,573,573,573,PHL-CVG
DCA,TPA,572,572,572,DCA-TPA
SNA,SMF,572,574,572,SNA-SMF
MAF,IAH,572,574,572,MAF-IAH
IAH,MAF,574,572,572,IAH-MAF
TPA,DCA,572,572,572,TPA-DCA
SMF,SNA,574,572,572,SMF-SNA
ONT,OAK,571,572,571,ONT-OAK
OAK,ONT,572,571,571,OAK-ONT
BNA,PHL,570,581,570,BNA-PHL
PHL,BNA,581,570,570,PHL-BNA
MEM,ORD,569,575,569,MEM-ORD
ORD,MEM,575,569,569,ORD-MEM
MSY,ORD,568,571,568,MSY-ORD
ORD,MSY,571,568,568,ORD-MSY
SJC,SLC,571,567,567,SJC-SLC
SFO,AUS,571,567,567,SFO-AUS
SLC,SJC,567,571,567,SLC-SJC
AUS,SFO,567,571,567,AUS-SFO
RDU,BWI,566,566,566,RDU-BWI
BWI,RDU,566,566,566,BWI-RDU
BDL,ATL,566,566,566,BDL-ATL
CMH,DCA,568,566,566,CMH-DCA
DCA,CMH,566,568,566,DCA-CMH
ATL,BDL,566,566,566,ATL-BDL
CLT,CHA,570,565,565,CLT-CHA
CHA,CLT,565,570,565,CHA-CLT
LAS,EWR,564,567,564,LAS-EWR
ORD,ICT,570,564,564,ORD-ICT
EWR,LAS,567,564,564,EWR-LAS
MSP,SFO,568,564,564,MSP-SFO
SFO,MSP,564,568,564,SFO-MSP
ICT,ORD,564,570,564,ICT-ORD
FLL,JAX,561,564,561,FLL-JAX
BDL,ORD,561,564,561,BDL-ORD
ORD,BDL,564,561,561,ORD-BDL
PHL,DEN,570,561,561,PHL-DEN
DEN,PHL,561,570,561,DEN-PHL
JAX,FLL,564,561,561,JAX-FLL
ATL,MOB,560,561,560,ATL-MOB
MOB,ATL,561,560,560,MOB-ATL
AVL,CLT,559,563,559,AVL-CLT
SEA,EUG,559,563,559,SEA-EUG
EWR,STL,561,559,559,EWR-STL
MDW,MCI,559,562,559,MDW-MCI
EUG,SEA,563,559,559,EUG-SEA
MGM,ATL,561,559,559,MGM-ATL
BNA,DTW,559,561,559,BNA-DTW
STL,EWR,559,561,559,STL-EWR
IND,DTW,559,559,559,IND-DTW
MEM,CLT,559,560,559,MEM-CLT
CLT,MEM,560,559,559,CLT-MEM
ATL,MGM,559,561,559,ATL-MGM
DTW,BNA,561,559,559,DTW-BNA
CLT,AVL,563,559,559,CLT-AVL
DTW,IND,559,559,559,DTW-IND
MCI,MDW,562,559,559,MCI-MDW
DEN,SAT,555,562,555,DEN-SAT
DFW,MCI,555,555,555,DFW-MCI
FAI,ANC,578,555,555,FAI-ANC
ANC,FAI,555,578,555,ANC-FAI
MCI,DFW,555,555,555,MCI-DFW
SAT,DEN,562,555,555,SAT-DEN
BOI,SLC,554,554,554,BOI-SLC
SLC,BOI,554,554,554,SLC-BOI
MDT,ORD,552,553,552,MDT-ORD
FLL,DEN,556,552,552,FLL-DEN
DEN,FLL,552,556,552,DEN-FLL
ORD,MDT,553,552,552,ORD-MDT
ONT,SMF,551,552,551,ONT-SMF
IND,LGA,554,551,551,IND-LGA
LGA,IND,551,554,551,LGA-IND
SMF,ONT,552,551,551,SMF-ONT
DFW,LBB,551,549,549,DFW-LBB
LBB,DFW,549,551,549,LBB-DFW
SFO,HNL,547,546,546,SFO-HNL
JFK,CLE,546,547,546,JFK-CLE
HNL,SFO,546,547,546,HNL-SFO
CLE,JFK,547,546,546,CLE-JFK
ORD,MLI,547,546,546,ORD-MLI
MLI,ORD,546,547,546,MLI-ORD
BTR,IAH,545,546,545,BTR-IAH
IND,DEN,545,545,545,IND-DEN
DEN,IND,545,545,545,DEN-IND
IAH,BTR,546,545,545,IAH-BTR
CLT,BDL,545,544,544,CLT-BDL
BDL,CLT,544,545,544,BDL-CLT
LEX,ORD,544,542,542,LEX-ORD
ORD,LEX,542,544,542,ORD-LEX
JFK,PBI,547,541,541,JFK-PBI
SEA,PSP,541,541,541,SEA-PSP
PBI,JFK,541,547,541,PBI-JFK
PSP,SEA,541,541,541,PSP-SEA
SMF,LGB,540,540,540,SMF-LGB
PHL,MSP,542,540,540,PHL-MSP
MSP,PHL,540,542,540,MSP-PHL
LGB,SMF,540,540,540,LGB-SMF
BNA,BOS,546,539,539,BNA-BOS
BOS,BNA,539,546,539,BOS-BNA
CLT,LAX,537,537,537,CLT-LAX
DEN,TUL,540,537,537,DEN-TUL
MCO,BNA,541,537,537,MCO-BNA
LAX,CLT,537,537,537,LAX-CLT
BNA,MCO,537,541,537,BNA-MCO
TUL,DEN,537,540,537,TUL-DEN
LAS,LGB,536,536,536,LAS-LGB
LGB,LAS,536,536,536,LGB-LAS
DAL,MDW,534,545,534,DAL-MDW
ORD,JAX,538,534,534,ORD-JAX
MCO,PVD,545,534,534,MCO-PVD
JAX,ORD,534,538,534,JAX-ORD
PVD,MCO,534,545,534,PVD-MCO
MDW,DAL,545,534,534,MDW-DAL
LFT,IAH,532,534,532,LFT-IAH
IAH,LFT,534,532,532,IAH-LFT
RSW,BWI,531,536,531,RSW-BWI
BWI,RSW,536,531,531,BWI-RSW
HNL,SEA,530,530,530,HNL-SEA
SEA,HNL,530,530,530,SEA-HNL
TPA,IAH,529,529,529,TPA-IAH
MSY,DEN,534,529,529,MSY-DEN
DEN,MSY,529,534,529,DEN-MSY
IAH,TPA,529,529,529,IAH-TPA
DCA,MSY,528,533,528,DCA-MSY
ORD,XNA,534,528,528,ORD-XNA
MSY,DCA,533,528,528,MSY-DCA
DEN,HOU,528,531,528,DEN-HOU
HOU,DEN,531,528,528,HOU-DEN
MIA,SJU,528,528,528,MIA-SJU
SJU,MIA,528,528,528,SJU-MIA
XNA,ORD,528,534,528,XNA-ORD
LAX,ABQ,530,527,527,LAX-ABQ
ABQ,LAX,527,530,527,ABQ-LAX
RNO,PHX,535,525,525,RNO-PHX
PHX,RNO,525,535,525,PHX-RNO
LAX,FLL,526,523,523,LAX-FLL
MFE,IAH,523,524,523,MFE-IAH
FLL,LAX,523,526,523,FLL-LAX
IAH,MFE,524,523,523,IAH-MFE
TLH,ATL,522,522,522,TLH-ATL
ATL,TLH,522,522,522,ATL-TLH
PHX,DAL,525,521,521,PHX-DAL
DAL,PHX,521,525,521,DAL-PHX
PHL,IAH,521,520,520,PHL-IAH
IAH,PHL,520,521,520,IAH-PHL
DEN,BOI,519,519,519,DEN-BOI
JFK,JAX,519,521,519,JFK-JAX
BOI,DEN,519,519,519,BOI-DEN
GSO,LGA,519,521,519,GSO-LGA
LGA,GSO,521,519,519,LGA-GSO
JAX,JFK,521,519,519,JAX-JFK
IND,MCO,519,518,518,IND-MCO
MCO,IND,518,519,518,MCO-IND
LAX,BNA,517,518,517,LAX-BNA
BNA,LAX,518,517,517,BNA-LAX
IAH,CRP,517,517,517,IAH-CRP
CRP,IAH,517,517,517,CRP-IAH
RSW,MSP,517,516,516,RSW-MSP
RST,ORD,516,520,516,RST-ORD
ORD,RST,520,516,516,ORD-RST
BUF,ORD,516,521,516,BUF-ORD
CLT,STL,516,516,516,CLT-STL
STL,CLT,516,516,516,STL-CLT
ORD,BUF,521,516,516,ORD-BUF
MSP,RSW,516,517,516,MSP-RSW
TYS,ORD,515,515,515,TYS-ORD
ORD,TYS,515,515,515,ORD-TYS
LGA,MKE,513,513,513,LGA-MKE
BTR,DFW,515,513,513,BTR-DFW
OAK,LGB,519,513,513,OAK-LGB
PHL,ORF,513,515,513,PHL-ORF
LGB,OAK,513,519,513,LGB-OAK
MKE,LGA,513,513,513,MKE-LGA
DFW,BTR,513,515,513,DFW-BTR
ORF,PHL,515,513,513,ORF-PHL
OAJ,CLT,512,514,512,OAJ-CLT
MDW,HOU,512,520,512,MDW-HOU
CLT,OAJ,514,512,512,CLT-OAJ
DCA,CHS,512,518,512,DCA-CHS
HOU,MDW,520,512,512,HOU-MDW
CHS,DCA,518,512,512,CHS-DCA
PHX,PSP,511,511,511,PHX-PSP
FAR,MSP,511,513,511,FAR-MSP
PSP,PHX,511,511,511,PSP-PHX
MSP,FAR,513,511,511,MSP-FAR
ATL,SAN,511,521,511,ATL-SAN
SAN,ATL,521,511,511,SAN-ATL
BOS,RIC,510,510,510,BOS-RIC
JFK,ROC,512,510,510,JFK-ROC
ATL,BTR,510,511,510,ATL-BTR
RIC,BOS,510,510,510,RIC-BOS
BTR,ATL,511,510,510,BTR-ATL
ROC,JFK,510,512,510,ROC-JFK
FAY,CLT,511,510,510,FAY-CLT
CLT,FAY,510,511,510,CLT-FAY
SFO,OGG,510,509,509,SFO-OGG
OGG,SFO,509,510,509,OGG-SFO
ORD,SAT,509,508,508,ORD-SAT
CLT,MDT,508,508,508,CLT-MDT
MDT,CLT,508,508,508,MDT-CLT
CLT,DAY,510,508,508,CLT-DAY
DAY,CLT,508,510,508,DAY-CLT
SAT,ORD,508,509,508,SAT-ORD
GRR,DTW,507,507,507,GRR-DTW
DTW,GRR,507,507,507,DTW-GRR
CLT,RSW,509,507,507,CLT-RSW
RSW,CLT,507,509,507,RSW-CLT
MCI,PHX,506,506,506,MCI-PHX
ATL,LIT,506,506,506,ATL-LIT
CLT,PBI,506,506,506,CLT-PBI
PHX,MCI,506,506,506,PHX-MCI
PBI,CLT,506,506,506,PBI-CLT
LIT,ATL,506,506,506,LIT-ATL
LGA,MCI,505,509,505,LGA-MCI
ORD,TUL,508,505,505,ORD-TUL
TUL,ORD,505,508,505,TUL-ORD
MCI,LGA,509,505,505,MCI-LGA
JAN,ATL,505,505,505,JAN-ATL
ATL,JAN,505,505,505,ATL-JAN
PDX,SAN,504,508,504,PDX-SAN
SAN,PDX,508,504,504,SAN-PDX
PHL,STL,506,504,504,PHL-STL
STL,PHL,504,506,504,STL-PHL
IAH,SAN,502,502,502,IAH-SAN
RIC,PHL,502,503,502,RIC-PHL
DFW,GRK,504,502,502,DFW-GRK
PHL,RIC,503,502,502,PHL-RIC
GRK,DFW,502,504,502,GRK-DFW
SAN,IAH,502,502,502,SAN-IAH
FLL,IAH,501,502,501,FLL-IAH
DFW,ICT,503,501,501,DFW-ICT
IAH,FLL,502,501,501,IAH-FLL
ICT,DFW,501,503,501,ICT-DFW
ORD,TVC,508,500,500,ORD-TVC
PHL,SFO,500,501,500,PHL-SFO
SFO,PHL,501,500,500,SFO-PHL
TVC,ORD,500,508,500,TVC-ORD
EWN,CLT,500,503,500,EWN-CLT
CLT,EWN,503,500,500,CLT-EWN
DAL,MCI,499,498,498,DAL-MCI
MCI,DAL,498,499,498,MCI-DAL
IAD,MCO,497,498,497,IAD-MCO
MCO,IAD,498,497,497,MCO-IAD
IND,EWR,502,496,496,IND-EWR
EWR,IND,496,502,496,EWR-IND
SMF,SLC,495,496,495,SMF-SLC
SLC,SMF,496,495,495,SLC-SMF
DFW,AMA,497,495,495,DFW-AMA
AMA,DFW,495,497,495,AMA-DFW
DFW,CRP,496,493,493,DFW-CRP
CRP,DFW,493,496,493,CRP-DFW
VPS,ATL,492,493,492,VPS-ATL
ATL,VPS,493,492,492,ATL-VPS
EWR,IAD,492,503,492,EWR-IAD
IAD,EWR,503,492,492,IAD-EWR
MCO,PIT,490,491,490,MCO-PIT
SHV,DFW,490,492,490,SHV-DFW
EWR,CLE,490,493,490,EWR-CLE
PIT,MCO,491,490,490,PIT-MCO
CLE,EWR,493,490,490,CLE-EWR
DFW,SHV,492,490,490,DFW-SHV
ORD,SNA,488,491,488,ORD-SNA
SNA,ORD,491,488,488,SNA-ORD
DRO,DEN,487,492,487,DRO-DEN
CLT,LYH,489,487,487,CLT-LYH
DFW,ABI,488,487,487,DFW-ABI
LYH,CLT,487,489,487,LYH-CLT
ABI,DFW,487,488,487,ABI-DFW
DEN,DRO,492,487,487,DEN-DRO
FWA,ORD,486,490,486,FWA-ORD
TRI,ATL,486,486,486,TRI-ATL
ATL,TRI,486,486,486,ATL-TRI
ORD,FWA,490,486,486,ORD-FWA
SAN,JFK,485,487,485,SAN-JFK
DFW,JFK,486,485,485,DFW-JFK
JFK,SAN,487,485,485,JFK-SAN
JFK,DFW,485,486,485,JFK-DFW
CVG,DFW,484,485,484,CVG-DFW
DFW,CVG,485,484,484,DFW-CVG
DTW,CMH,483,483,483,DTW-CMH
CMH,DTW,483,483,483,CMH-DTW
JAN,DFW,483,483,483,JAN-DFW
DFW,JAN,483,483,483,DFW-JAN
SFO,SBA,486,482,482,SFO-SBA
SBA,SFO,482,486,482,SBA-SFO
ORD,OKC,485,481,481,ORD-OKC
HOU,AUS,486,481,481,HOU-AUS
OKC,ATL,481,481,481,OKC-ATL
LIT,IAH,481,481,481,LIT-IAH
AGS,CLT,481,485,481,AGS-CLT
AUS,HOU,481,486,481,AUS-HOU
CLT,AGS,485,481,481,CLT-AGS
IAH,LIT,481,481,481,IAH-LIT
OKC,ORD,481,485,481,OKC-ORD
ATL,OKC,481,481,481,ATL-OKC
MCO,STL,480,484,480,MCO-STL
STL,MCO,484,480,480,STL-MCO
MDW,STL,479,492,479,MDW-STL
ATL,EYW,479,479,479,ATL-EYW
EYW,ATL,479,479,479,EYW-ATL
STL,MDW,492,479,479,STL-MDW
IAH,BNA,487,479,479,IAH-BNA
BNA,IAH,479,487,479,BNA-IAH
ALB,ORD,478,481,478,ALB-ORD
ORD,ALB,481,478,478,ORD-ALB
MSP,FSD,481,478,478,MSP-FSD
FSD,MSP,478,481,478,FSD-MSP
BOS,BUF,477,478,477,BOS-BUF
BUF,BOS,478,477,477,BUF-BOS
MSY,EWR,476,476,476,MSY-EWR
EWR,MSY,476,476,476,EWR-MSY
ATL,XNA,475,475,475,ATL-XNA
LAX,MCI,475,475,475,LAX-MCI
XNA,ATL,475,475,475,XNA-ATL
BWI,BNA,475,478,475,BWI-BNA
MCI,LAX,475,475,475,MCI-LAX
BNA,BWI,478,475,475,BNA-BWI
TPA,LGA,475,474,474,TPA-LGA
BWI,MDW,474,476,474,BWI-MDW
IAH,ELP,474,475,474,IAH-ELP
MDW,BWI,476,474,474,MDW-BWI
LGA,TPA,474,475,474,LGA-TPA
ELP,IAH,475,474,474,ELP-IAH
IAD,DFW,475,473,473,IAD-DFW
MCO,MSY,473,473,473,MCO-MSY
MSP,MKE,473,473,473,MSP-MKE
DFW,IAD,473,475,473,DFW-IAD
MKE,MSP,473,473,473,MKE-MSP
MSY,MCO,473,473,473,MSY-MCO
